item,label,site,geo,inscription
Q106675343,BAKNK/8 (Ogham Stone Concept by CISP),Q85394270,POINT(-8.071111 52.026944),BOGAIMAQIB 
Q106675345,BAKNK/9 (Ogham Stone Concept by CISP),Q85394270,POINT(-8.071111 52.026944),CRONUNMACBAIT
Q106675346,BALBA/1 (Ogham Stone Concept by CISP),Q106626868,POINT(-6.43833 53.98278),MAQICOR[A]B[I]RM[A]Q[I]TAN[.]B!][-- 
Q106675347,BALBO/1 (Ogham Stone Concept by CISP),Q69378747,POINT(-7.231111 52.471944),CORBI{K}OIMAQILABRID[--
Q106675348,BALBR/1 (Ogham Stone Concept by CISP),Q106628064,POINT(-9.746467 52.32801),GLANNANIMAQ 
Q106675349,BALEE/1 (Ogham Stone Concept by CISP),Q85393961,POINT(-10.2075 52.140556),MOINENAMAQIOLACON
Q106675350,BALGH/1 (Ogham Stone Concept by CISP),Q85391707,POINT(-6.720556 52.250556),[--]
Q106675351,BALIG/1 (Ogham Stone Concept by CISP),Q85394310,POINT(-10.386111 52.176111),DUBONIRRAS 
Q106675352,BALIG/2 (Ogham Stone Concept by CISP),Q85394310,POINT(-10.386111 52.176111),MAQQIQUETTI 
Q106675353,BALIG/3 (Ogham Stone Concept by CISP),Q85394310,POINT(-10.386111 52.176111),GRAVICASMAQI 
Q106675354,BALIG/4 (Ogham Stone Concept by CISP),Q85394310,POINT(-10.386111 52.176111),BROINIONAS
Q106675355,BALIG/5 (Ogham Stone Concept by CISP),Q85394310,POINT(-10.386111 52.176111),LUBBAISMAQQIDUN[--]S
Q106675356,BALIG/6 (Ogham Stone Concept by CISP),Q85394310,POINT(-10.386111 52.176111),CCICAMINIMAQQICATTINI
Q106675357,BALIG/7 (Ogham Stone Concept by CISP),Q85394310,POINT(-10.386111 52.176111),CUNAMAQQICORBBIMAQQ 
Q106675358,BALIG/8 (Ogham Stone Concept by CISP),Q85394310,POINT(-10.386111 52.176111),[--]
Q106675359,BARHA/1 (Ogham Stone Concept by CISP),Q69378412,POINT(-8.818333 52.015833),CARRTTACCGAQIMUCAGG[I]
Q106675360,BAROG/1 (Ogham Stone Concept by CISP),Q85391668,POINT(-6.476667 53.845),BRONOGENI
Q106675361,BAVEL/1 (Ogham Stone Concept by CISP),Q85396997,POINT(-7.226667 52.185),CUMNI 
Q106675362,BAWGL/1 (Ogham Stone Concept by CISP),Q85396897,POINT(-9.438889 52.1425),--]QET[IA]SM[A]QTRENIL[U][--
Q106675363,BAYEL/1 (Ogham Stone Concept by CISP),Q85396834,POINT(-8.823889 52.4575),--]D[-]QMAMAQI 
Q106675365,BCARE/1 (Ogham Stone Concept by CISP),Q85391685,POINT(-6.608898 52.947012),VOTI
Q106675366,BDREN/1 (Ogham Stone Concept by CISP),Q85395515,POINT(-10.0375 52.165833),--][MAQI]DROGNOMU[COI][--
Q106675367,BDREN/2 (Ogham Stone Concept by CISP),Q85395515,POINT(-10.0375 52.165833),IRCCITOS
