filename|uuid|transliteration|ogham|translation|ciic|o3d|label|townland|barony|geom_found|geom_orig|geom_lastrecorded|webgis
264._Ardmore_II.xml|1c8d331922fd|nan|nan|nan|264|264._Ardmore_II|CIIC 264. Ardmore||Decies within Drum|-7.726208,51.948826||-6.254558,53.340408|WA040-008006-|
265._Ardmore_III.xml|c0f05124a4dc|nan|nan|nan|265|265._Ardmore_III|CIIC 265. Ardmore III|Ardmore|Ardocheasty|-7.725973, 51.948556||-7.725908, 51.948852|WA040-008007-|
266._Dromore_I.xml|a90a7f1793d4|COLLABOT MUCOI LUGA/ MAQI LOBACCONA|ᚉᚑᚂᚂᚐᚁᚑᚈ  ᚋᚒᚉᚑᚔ  ᚂᚒᚌᚐ  ᚋᚐᚊᚔ  ᚂᚑᚁᚐᚉᚉᚑᚅᚐ |Of Cóelub descendant of Lug son of Lubchú? |266|266._Dromore_I|CIIC 266. Dromore I|Dromore|Decies within Drum|-7.847713, 52.074413|||WA029-042003-|
267._Dromore_II.xml|f0b6c7553a49|nan|nan|nan|267|267._Dromore_II|CIIC 267. Dromore II|Dromore|Decies within Drum|-7.847708, 52.074382|||WA029-042006-|
268._Dromore_III.xml|59d60f4f7ad1|nan|nan|nan|268|268._Dromore_III|CIIC 268. Dromore III|||-7.847710, 52.074331||-6.254558,53.340408|WA029-042010-|
272._Drumlohan_I.xml|7c7cd91ea3b0|nan|nan|nan|272|272._Drumlohan_I|CIIC 272. Drumlohan I|||-7.465370, 52.163318|||WA024-033006-|
273._Drumlohan_II.xml|4e612fee93d0|nan|nan|nan|273|273._Drumlohan_II|CIIC 273. Drumlohan II|||-7.465370, 52.163318|||WA024-033007-|
274._Drumlohan_III.xml|cae598c3e727|nan|nan|nan|274|274._Drumlohan_III|CIIC 274. Drumlohan III|||-7.465370, 52.163318|||WA024-033008-|
275._Drumlohan_IV.xml|4f233e47b71f|nan|nan|nan|275|275._Drumlohan_IV|CIIC 275. Drumlohan IV|||-7.465370, 52.163318|||WA024-033009-|
276._Drumlohan_V.xml|606b13c45b48|nan|nan|nan|276|276._Drumlohan_V|CIIC 276. Drumlohan V|||-7.465370, 52.163318|||WA024-033010-|
277._Drumlohan_VI.xml|8e2a0171d791|nan|nan|nan|277|277._Drumlohan_VI|CIIC 277. Drumlohan VI|||-7.465370, 52.163318|||WA024-033011-|
