Stone|Inscription|Transcription|Width|Height|Depth
263._Ardmore I|  ᚂᚒᚌᚒᚇᚓᚉᚉᚐᚄ  ᚋᚐᚊᚔᚋᚒᚉᚑᚔ  ᚅᚓᚈᚐᚄᚓᚌᚐᚋᚑᚅᚐᚄ  ᚇᚑᚂᚐᚈᚔ  ᚁᚔᚌᚐᚔᚄᚌᚑᚁ |LUGUDECCAS MAQI/MU/COI NETA-SEGAMONAS/ DOLATI BIGAISGOB...|0.28|1.27|0.30
264._Ardmore II|  ᚅᚐᚉᚔ  ᚋᚐᚊᚔ   |...NACI MAQI ...|0.30|0.86|0.05
265._Ardmore III|  ᚐᚋᚐᚇᚒ |AMADU|0.33|1.33|0.23
266._Dromore I|  ᚉᚑᚂᚂᚐᚁᚑᚈ  ᚋᚒᚉᚑᚔ  ᚂᚒᚌᚐ  ᚋᚐᚊᚔ  ᚂᚑᚁᚐᚉᚉᚑᚅᚐ |COLLABOT MUCOI LUGA/ MAQI LOBACCONA|0.51|1.32|0.13
267._Dromore II|    ᚋᚓᚇᚒᚄᚔ  ᚋᚐᚉᚔ  ᚂᚒ  ᚋᚒᚉᚑᚔ  ᚂᚒᚌᚐ |MEDUSI MACI LU/ MUCOI LUGA|0.41|1.30|0.25
268._Dromore III|  ᚉᚐᚈᚈᚒᚃᚔᚏ |CATTUVIR|0.30|1.42|0.28
272._Drumlohan I|  ᚋᚐᚅᚒ  ᚋᚐᚌᚒᚅᚑ  ᚌᚐᚈᚔ  ᚋᚑᚉᚑᚔ  ᚋᚐᚉᚑᚏᚁᚑ   |MANU MAGUNO GATI MOCOI MACORBO|0.20|1.52|0.20
273._Drumlohan II|  ᚉᚐᚂᚒᚅᚑᚃᚔᚉᚐ  ᚋᚐᚊᚔ  ᚋᚒᚉᚑᚔ  ᚂᚔᚈᚓᚅᚔ   |CALUNOVICA MAQI MUCOI LITENI|0.42|1.67|0.30
274._Drumlohan III|  ᚋᚐᚊᚔᚔᚅᚔ  ᚋᚐᚊᚔ  ᚊᚓᚈᚈᚓᚐᚄ   |MAQI-INI MAQI QETTEAS|0.33|1.55|0.17
275._Drumlohan IV|  ᚉᚒᚅᚐᚂᚓᚌᚓᚐ  ᚋᚐᚊᚔ  ᚉᚄᚐᚂᚐᚏ  ᚉᚓᚂᚔ  ᚐᚃᚔ  ᚊᚃᚓᚉᚔ   |CUNALEGEA MAQI C[....]SALAR CELI AVI QVECI|0.34|1.49|0.17
276._Drumlohan V|  ᚁᚔᚌᚒ  ᚋᚐᚊᚔ  ᚂᚐᚌ   |BIGU MAQI LAG|0.39|1.40|0.10
277._Drumlohan VI|  ᚁᚔᚏ  ᚋᚐᚊᚔ  ᚋᚒᚉᚑᚔ  ᚏᚑᚈᚈᚐᚔᚄ   |BIR MAQI MUCOI ROTTAIS|0.29|1.14|0.20
278._Drumlohan VII|    ᚋᚐᚊᚔ  ᚅᚓᚈᚐᚄ   |MAQI NETAS|0.27|1.24|0.22
279._Drumlohan VIII|    ᚇᚓᚅᚐᚃᚓᚉᚐ    ᚋᚒᚉᚑᚔ  ᚋᚓᚇᚐᚂᚑ |DENAVECA MUCOI MEDALO|0.46|1.07|0.24
28._Churchclara I|  ᚈᚐᚄᚓᚌᚐᚌᚅᚔ  ᚋᚐᚊ  ᚔ    ᚋᚒᚉᚑᚔ    ᚋᚐᚉᚑᚏᚁᚑ |TASEGAGNI/ MAQ/ I MUCOI MACORBO|0.20|1.57|
280._Drumlohan IX|    ᚁᚏᚑᚔᚅᚔᚑᚅᚐᚄ   |BROINIONAS|0.51|1.12|0.22
281._Drumlohan X|    ᚇᚓᚐᚌᚑᚄ    ᚋᚐᚊᚔ  ᚋᚒᚉᚑᚔ  ᚅᚐᚔ   |DEAGOS MAQI MUCOI NAI|0.66|0.97|0.09
285._Kilbeg|  ᚁᚔᚃᚑᚇᚑᚅ  ᚋᚒᚉᚑᚔ  ᚐᚈᚐᚏ |BIVODON MUCOI ATAR|0.27|1.17|0.14
292._Knockboy I|  ᚓᚏᚐᚈᚔ  ᚋᚒᚉᚑᚔ  ᚅᚓᚈᚐᚄᚓᚌᚐᚋᚑᚅᚐᚄ |ERATI MUCOI NETA-S/EGAMONAS|0.56|1.78|0.23
293._Knockboy II|    ᚏᚌᚁᚉᚐᚏᚉᚓᚅ |RGBCARCEN|0.23|1.32|0.27
294._Knockboy III|    ᚉᚑᚏᚁ |CORB|0.05|0.36|
